Faces_annotation_0349 Faces_annotation_0431
ewer_annotation_0018 ewer_annotation_0056
ewer_annotation_0038 ewer_annotation_0069
ewer_annotation_0063 ewer_annotation_0073
ewer_annotation_0009 ewer_annotation_0061
ewer_annotation_0038 ewer_annotation_0023
ewer_annotation_0042 ewer_annotation_0026
ewer_annotation_0060 ewer_annotation_0016
ewer_annotation_0080 ewer_annotation_0051
ewer_annotation_0014 ewer_annotation_0067
ferry_annotation_0007 ferry_annotation_0022
ferry_annotation_0028 ferry_annotation_0041
ferry_annotation_0043 ferry_annotation_0066
ferry_annotation_0052 ferry_annotation_0031
ferry_annotation_0035 ferry_annotation_0034
ferry_annotation_0004 ferry_annotation_0066
ferry_annotation_0030 ferry_annotation_0052
ferry_annotation_0053 ferry_annotation_0066
ferry_annotation_0067 ferry_annotation_0014
ferry_annotation_0057 ferry_annotation_0003
ferry_annotation_0005 ferry_annotation_0011
ferry_annotation_0052 ferry_annotation_0049
ferry_annotation_0049 ferry_annotation_0053
ferry_annotation_0051 ferry_annotation_0044
ferry_annotation_0014 ferry_annotation_0023
flamingo_annotation_0044 flamingo_annotation_0015
flamingo_annotation_0004 flamingo_annotation_0013
flamingo_annotation_0059 flamingo_annotation_0044
flamingo_annotation_0007 flamingo_annotation_0008
flamingo_annotation_0064 flamingo_annotation_0034
flamingo_annotation_0026 flamingo_annotation_0046
flamingo_annotation_0010 flamingo_annotation_0011
flamingo_annotation_0021 flamingo_annotation_0026
flamingo_annotation_0061 flamingo_annotation_0055
flamingo_annotation_0053 flamingo_annotation_0061
flamingo_annotation_0013 flamingo_annotation_0011
flamingo_annotation_0012 flamingo_annotation_0050
flamingo_annotation_0060 flamingo_annotation_0038
flamingo_annotation_0052 flamingo_annotation_0013
flamingo_annotation_0054 flamingo_annotation_0047
flamingo_head_annotation_0014 flamingo_head_annotation_0030
flamingo_head_annotation_0029 flamingo_head_annotation_0023
flamingo_head_annotation_0011 flamingo_head_annotation_0020
flamingo_head_annotation_0023 flamingo_head_annotation_0018
flamingo_head_annotation_0035 flamingo_head_annotation_0038
flamingo_head_annotation_0028 flamingo_head_annotation_0012
flamingo_head_annotation_0012 flamingo_head_annotation_0014
flamingo_head_annotation_0030 flamingo_head_annotation_0026
flamingo_head_annotation_0015 flamingo_head_annotation_0029
flamingo_head_annotation_0006 flamingo_head_annotation_0021
flamingo_head_annotation_0030 flamingo_head_annotation_0039
flamingo_head_annotation_0043 flamingo_head_annotation_0043
flamingo_head_annotation_0038 flamingo_head_annotation_0037
flamingo_head_annotation_0007 flamingo_head_annotation_0033
flamingo_head_annotation_0031 flamingo_head_annotation_0006
garfield_annotation_0003 garfield_annotation_0016
garfield_annotation_0029 garfield_annotation_0020
garfield_annotation_0012 garfield_annotation_0025
garfield_annotation_0031 garfield_annotation_0012
garfield_annotation_0020 garfield_annotation_0003
garfield_annotation_0002 garfield_annotation_0031
garfield_annotation_0008 garfield_annotation_0029
garfield_annotation_0005 garfield_annotation_0013
garfield_annotation_0015 garfield_annotation_0027
garfield_annotation_0030 garfield_annotation_0015
garfield_annotation_0004 garfield_annotation_0018
garfield_annotation_0032 garfield_annotation_0020
garfield_annotation_0032 garfield_annotation_0009
garfield_annotation_0010 garfield_annotation_0005
garfield_annotation_0002 garfield_annotation_0021
gerenuk_annotation_0021 gerenuk_annotation_0022
gerenuk_annotation_0008 gerenuk_annotation_0001
gerenuk_annotation_0030 gerenuk_annotation_0006
gerenuk_annotation_0004 gerenuk_annotation_0001
gerenuk_annotation_0031 gerenuk_annotation_0026
gerenuk_annotation_0014 gerenuk_annotation_0024
gerenuk_annotation_0011 gerenuk_annotation_0013
gerenuk_annotation_0026 gerenuk_annotation_0023
gerenuk_annotation_0010 gerenuk_annotation_0004
gerenuk_annotation_0018 gerenuk_annotation_0028
gerenuk_annotation_0008 gerenuk_annotation_0015
gerenuk_annotation_0002 gerenuk_annotation_0004
gerenuk_annotation_0029 gerenuk_annotation_0004
gerenuk_annotation_0004 gerenuk_annotation_0004
gerenuk_annotation_0019 gerenuk_annotation_0022
gramophone_annotation_0011 gramophone_annotation_0012
gramophone_annotation_0022 gramophone_annotation_0040
gramophone_annotation_0042 gramophone_annotation_0035
gramophone_annotation_0017 gramophone_annotation_0009
gramophone_annotation_0014 gramophone_annotation_0008
gramophone_annotation_0042 gramophone_annotation_0035
gramophone_annotation_0011 gramophone_annotation_0034
gramophone_annotation_0034 gramophone_annotation_0033
gramophone_annotation_0030 gramophone_annotation_0010
gramophone_annotation_0029 gramophone_annotation_0042
gramophone_annotation_0017 gramophone_annotation_0032
gramophone_annotation_0008 gramophone_annotation_0048
gramophone_annotation_0007 gramophone_annotation_0034
gramophone_annotation_0043 gramophone_annotation_0013
gramophone_annotation_0025 gramophone_annotation_0003
grand_piano_annotation_0004 grand_piano_annotation_0038
grand_piano_annotation_0072 grand_piano_annotation_0042
grand_piano_annotation_0025 grand_piano_annotation_0062
grand_piano_annotation_0015 grand_piano_annotation_0066
grand_piano_annotation_0005 grand_piano_annotation_0063
grand_piano_annotation_0081 grand_piano_annotation_0034
grand_piano_annotation_0084 grand_piano_annotation_0074
grand_piano_annotation_0023 grand_piano_annotation_0069
grand_piano_annotation_0075 grand_piano_annotation_0059
grand_piano_annotation_0028 grand_piano_annotation_0088
grand_piano_annotation_0034 grand_piano_annotation_0095
grand_piano_annotation_0033 grand_piano_annotation_0086
grand_piano_annotation_0007 grand_piano_annotation_0032
grand_piano_annotation_0008 grand_piano_annotation_0066
grand_piano_annotation_0049 grand_piano_annotation_0090
hawksbill_annotation_0069 hawksbill_annotation_0051
hawksbill_annotation_0100 hawksbill_annotation_0082
hawksbill_annotation_0050 hawksbill_annotation_0081
hawksbill_annotation_0028 hawksbill_annotation_0012
hawksbill_annotation_0070 hawksbill_annotation_0062
hawksbill_annotation_0100 hawksbill_annotation_0078
hawksbill_annotation_0022 hawksbill_annotation_0029
hawksbill_annotation_0042 hawksbill_annotation_0027
hawksbill_annotation_0017 hawksbill_annotation_0047
hawksbill_annotation_0025 hawksbill_annotation_0038
hawksbill_annotation_0040 hawksbill_annotation_0048
hawksbill_annotation_0035 hawksbill_annotation_0044
hawksbill_annotation_0093 hawksbill_annotation_0026
hawksbill_annotation_0046 hawksbill_annotation_0015
hawksbill_annotation_0053 hawksbill_annotation_0027
headphone_annotation_0015 headphone_annotation_0018
headphone_annotation_0011 headphone_annotation_0011
headphone_annotation_0001 headphone_annotation_0016
headphone_annotation_0019 headphone_annotation_0007
headphone_annotation_0038 headphone_annotation_0001
headphone_annotation_0028 headphone_annotation_0018
headphone_annotation_0007 headphone_annotation_0012
headphone_annotation_0011 headphone_annotation_0008
headphone_annotation_0034 headphone_annotation_0025
headphone_annotation_0031 headphone_annotation_0031
headphone_annotation_0035 headphone_annotation_0031
headphone_annotation_0040 headphone_annotation_0022
headphone_annotation_0009 headphone_annotation_0014
headphone_annotation_0023 headphone_annotation_0020
headphone_annotation_0012 headphone_annotation_0013
hedgehog_annotation_0037 hedgehog_annotation_0006
hedgehog_annotation_0050 hedgehog_annotation_0032
hedgehog_annotation_0016 hedgehog_annotation_0046
hedgehog_annotation_0026 hedgehog_annotation_0013
hedgehog_annotation_0022 hedgehog_annotation_0011
hedgehog_annotation_0018 hedgehog_annotation_0003
hedgehog_annotation_0022 hedgehog_annotation_0045
hedgehog_annotation_0048 hedgehog_annotation_0002
hedgehog_annotation_0052 hedgehog_annotation_0020
hedgehog_annotation_0001 hedgehog_annotation_0010
hedgehog_annotation_0033 hedgehog_annotation_0028
hedgehog_annotation_0043 hedgehog_annotation_0027
hedgehog_annotation_0035 hedgehog_annotation_0047
hedgehog_annotation_0007 hedgehog_annotation_0031
hedgehog_annotation_0039 hedgehog_annotation_0010
helicopter_annotation_0080 helicopter_annotation_0029
helicopter_annotation_0059 helicopter_annotation_0059
helicopter_annotation_0045 helicopter_annotation_0044
helicopter_annotation_0073 helicopter_annotation_0076
helicopter_annotation_0026 helicopter_annotation_0066
helicopter_annotation_0078 helicopter_annotation_0036
helicopter_annotation_0047 helicopter_annotation_0046
helicopter_annotation_0009 helicopter_annotation_0052
helicopter_annotation_0043 helicopter_annotation_0045
helicopter_annotation_0029 helicopter_annotation_0065
helicopter_annotation_0048 helicopter_annotation_0065
helicopter_annotation_0085 helicopter_annotation_0018
helicopter_annotation_0033 helicopter_annotation_0041
helicopter_annotation_0003 helicopter_annotation_0046
helicopter_annotation_0066 helicopter_annotation_0014
ibis_annotation_0063 ibis_annotation_0045
ibis_annotation_0014 ibis_annotation_0073
ibis_annotation_0040 ibis_annotation_0045
ibis_annotation_0021 ibis_annotation_0069
ibis_annotation_0050 ibis_annotation_0037
ibis_annotation_0037 ibis_annotation_0013
ibis_annotation_0021 ibis_annotation_0019
ibis_annotation_0043 ibis_annotation_0049
ibis_annotation_0008 ibis_annotation_0035
ibis_annotation_0045 ibis_annotation_0049
ibis_annotation_0069 ibis_annotation_0019
ibis_annotation_0059 ibis_annotation_0075
ibis_annotation_0044 ibis_annotation_0057
ibis_annotation_0054 ibis_annotation_0055
ibis_annotation_0069 ibis_annotation_0032
inline_skate_annotation_0021 inline_skate_annotation_0025
inline_skate_annotation_0014 inline_skate_annotation_0021
inline_skate_annotation_0031 inline_skate_annotation_0002
inline_skate_annotation_0003 inline_skate_annotation_0007
inline_skate_annotation_0015 inline_skate_annotation_0013
inline_skate_annotation_0022 inline_skate_annotation_0029
inline_skate_annotation_0030 inline_skate_annotation_0019
inline_skate_annotation_0020 inline_skate_annotation_0007
inline_skate_annotation_0020 inline_skate_annotation_0011
inline_skate_annotation_0020 inline_skate_annotation_0009
inline_skate_annotation_0005 inline_skate_annotation_0012
inline_skate_annotation_0008 inline_skate_annotation_0028
inline_skate_annotation_0018 inline_skate_annotation_0018
inline_skate_annotation_0008 inline_skate_annotation_0011
inline_skate_annotation_0016 inline_skate_annotation_0021
joshua_tree_annotation_0040 joshua_tree_annotation_0046
joshua_tree_annotation_0006 joshua_tree_annotation_0047
joshua_tree_annotation_0024 joshua_tree_annotation_0022
joshua_tree_annotation_0061 joshua_tree_annotation_0030
joshua_tree_annotation_0060 joshua_tree_annotation_0025
joshua_tree_annotation_0017 joshua_tree_annotation_0005
joshua_tree_annotation_0017 joshua_tree_annotation_0063
joshua_tree_annotation_0050 joshua_tree_annotation_0039
joshua_tree_annotation_0026 joshua_tree_annotation_0029
joshua_tree_annotation_0057 joshua_tree_annotation_0063
joshua_tree_annotation_0029 joshua_tree_annotation_0045
joshua_tree_annotation_0032 joshua_tree_annotation_0032
joshua_tree_annotation_0024 joshua_tree_annotation_0023
joshua_tree_annotation_0025 joshua_tree_annotation_0028
joshua_tree_annotation_0030 joshua_tree_annotation_0014
kangaroo_annotation_0047 kangaroo_annotation_0010
kangaroo_annotation_0083 kangaroo_annotation_0023
kangaroo_annotation_0017 kangaroo_annotation_0042
kangaroo_annotation_0067 kangaroo_annotation_0057
kangaroo_annotation_0073 kangaroo_annotation_0072
kangaroo_annotation_0079 kangaroo_annotation_0055
kangaroo_annotation_0055 kangaroo_annotation_0070
kangaroo_annotation_0052 kangaroo_annotation_0050
kangaroo_annotation_0067 kangaroo_annotation_0043
kangaroo_annotation_0024 kangaroo_annotation_0069
kangaroo_annotation_0001 kangaroo_annotation_0038
kangaroo_annotation_0024 kangaroo_annotation_0005
kangaroo_annotation_0046 kangaroo_annotation_0085
kangaroo_annotation_0020 kangaroo_annotation_0065
kangaroo_annotation_0079 kangaroo_annotation_0050
ketch_annotation_0039 ketch_annotation_0013
ketch_annotation_0068 ketch_annotation_0110
ketch_annotation_0103 ketch_annotation_0040
ketch_annotation_0097 ketch_annotation_0101
ketch_annotation_0099 ketch_annotation_0032
ketch_annotation_0012 ketch_annotation_0082
ketch_annotation_0090 ketch_annotation_0006
ketch_annotation_0047 ketch_annotation_0013
ketch_annotation_0035 ketch_annotation_0098
ketch_annotation_0004 ketch_annotation_0049
ketch_annotation_0081 ketch_annotation_0065
ketch_annotation_0097 ketch_annotation_0084
ketch_annotation_0006 ketch_annotation_0110
ketch_annotation_0029 ketch_annotation_0007
ketch_annotation_0109 ketch_annotation_0014
lamp_annotation_0008 lamp_annotation_0041
lamp_annotation_0049 lamp_annotation_0045
lamp_annotation_0010 lamp_annotation_0006
lamp_annotation_0033 lamp_annotation_0009
lamp_annotation_0044 lamp_annotation_0050
lamp_annotation_0061 lamp_annotation_0052
lamp_annotation_0038 lamp_annotation_0007
lamp_annotation_0018 lamp_annotation_0047
lamp_annotation_0034 lamp_annotation_0020
lamp_annotation_0033 lamp_annotation_0015
lamp_annotation_0055 lamp_annotation_0052
lamp_annotation_0005 lamp_annotation_0026
lamp_annotation_0061 lamp_annotation_0041
lamp_annotation_0056 lamp_annotation_0003
lamp_annotation_0058 lamp_annotation_0046
laptop_annotation_0081 laptop_annotation_0047
laptop_annotation_0032 laptop_annotation_0069
laptop_annotation_0043 laptop_annotation_0080
laptop_annotation_0064 laptop_annotation_0065
laptop_annotation_0014 laptop_annotation_0045
laptop_annotation_0074 laptop_annotation_0071
laptop_annotation_0026 laptop_annotation_0022
laptop_annotation_0056 laptop_annotation_0077
laptop_annotation_0038 laptop_annotation_0081
laptop_annotation_0054 laptop_annotation_0075
laptop_annotation_0056 laptop_annotation_0004
laptop_annotation_0020 laptop_annotation_0048
laptop_annotation_0045 laptop_annotation_0035
laptop_annotation_0014 laptop_annotation_0004
laptop_annotation_0074 laptop_annotation_0075
llama_annotation_0059 llama_annotation_0031
llama_annotation_0005 llama_annotation_0069
llama_annotation_0057 llama_annotation_0031
llama_annotation_0023 llama_annotation_0059
llama_annotation_0076 llama_annotation_0058
llama_annotation_0012 llama_annotation_0018
llama_annotation_0047 llama_annotation_0073
llama_annotation_0037 llama_annotation_0014
llama_annotation_0033 llama_annotation_0065
llama_annotation_0069 llama_annotation_0033
llama_annotation_0018 llama_annotation_0061
llama_annotation_0043 llama_annotation_0027
llama_annotation_0074 llama_annotation_0070
llama_annotation_0051 llama_annotation_0067
llama_annotation_0003 llama_annotation_0011
lobster_annotation_0028 lobster_annotation_0026
lobster_annotation_0007 lobster_annotation_0020
lobster_annotation_0017 lobster_annotation_0037
lobster_annotation_0023 lobster_annotation_0031
lobster_annotation_0023 lobster_annotation_0025
lobster_annotation_0032 lobster_annotation_0005
lobster_annotation_0031 lobster_annotation_0001
lobster_annotation_0038 lobster_annotation_0004
lobster_annotation_0020 lobster_annotation_0019
lobster_annotation_0017 lobster_annotation_0008
lobster_annotation_0039 lobster_annotation_0004
lobster_annotation_0004 lobster_annotation_0014
lobster_annotation_0023 lobster_annotation_0010
lobster_annotation_0014 lobster_annotation_0014
lobster_annotation_0039 lobster_annotation_0023
lotus_annotation_0064 lotus_annotation_0026
lotus_annotation_0015 lotus_annotation_0038
lotus_annotation_0027 lotus_annotation_0050
lotus_annotation_0066 lotus_annotation_0049
lotus_annotation_0031 lotus_annotation_0026
lotus_annotation_0065 lotus_annotation_0060
lotus_annotation_0033 lotus_annotation_0013
lotus_annotation_0066 lotus_annotation_0059
lotus_annotation_0036 lotus_annotation_0018
lotus_annotation_0009 lotus_annotation_0028
lotus_annotation_0023 lotus_annotation_0001
lotus_annotation_0049 lotus_annotation_0037
lotus_annotation_0028 lotus_annotation_0023
lotus_annotation_0062 lotus_annotation_0043
lotus_annotation_0005 lotus_annotation_0062
mandolin_annotation_0026 mandolin_annotation_0027
mandolin_annotation_0012 mandolin_annotation_0009
mandolin_annotation_0039 mandolin_annotation_0018
mandolin_annotation_0001 mandolin_annotation_0021
mandolin_annotation_0010 mandolin_annotation_0035
mandolin_annotation_0031 mandolin_annotation_0010
mandolin_annotation_0005 mandolin_annotation_0017
mandolin_annotation_0031 mandolin_annotation_0039
mandolin_annotation_0011 mandolin_annotation_0006
mandolin_annotation_0018 mandolin_annotation_0002
mandolin_annotation_0013 mandolin_annotation_0030
mandolin_annotation_0007 mandolin_annotation_0013
mandolin_annotation_0014 mandolin_annotation_0043
mandolin_annotation_0028 mandolin_annotation_0008
mandolin_annotation_0001 mandolin_annotation_0024
mayfly_annotation_0024 mayfly_annotation_0022
mayfly_annotation_0020 mayfly_annotation_0027
mayfly_annotation_0019 mayfly_annotation_0034
mayfly_annotation_0007 mayfly_annotation_0024
mayfly_annotation_0011 mayfly_annotation_0003
mayfly_annotation_0029 mayfly_annotation_0030
mayfly_annotation_0040 mayfly_annotation_0007
mayfly_annotation_0023 mayfly_annotation_0004
mayfly_annotation_0026 mayfly_annotation_0002
mayfly_annotation_0028 mayfly_annotation_0004
mayfly_annotation_0039 mayfly_annotation_0009
mayfly_annotation_0015 mayfly_annotation_0016
mayfly_annotation_0019 mayfly_annotation_0012
mayfly_annotation_0006 mayfly_annotation_0006
mayfly_annotation_0004 mayfly_annotation_0026
menorah_annotation_0010 menorah_annotation_0062
menorah_annotation_0064 menorah_annotation_0031
menorah_annotation_0078 menorah_annotation_0057
menorah_annotation_0039 menorah_annotation_0037
menorah_annotation_0036 menorah_annotation_0066
menorah_annotation_0037 menorah_annotation_0022
menorah_annotation_0077 menorah_annotation_0017
menorah_annotation_0046 menorah_annotation_0014
menorah_annotation_0012 menorah_annotation_0087
menorah_annotation_0019 menorah_annotation_0085
menorah_annotation_0015 menorah_annotation_0081
menorah_annotation_0031 menorah_annotation_0040
menorah_annotation_0032 menorah_annotation_0018
menorah_annotation_0048 menorah_annotation_0033
menorah_annotation_0012 menorah_annotation_0065
metronome_annotation_0029 metronome_annotation_0012
metronome_annotation_0028 metronome_annotation_0006
metronome_annotation_0032 metronome_annotation_0003
metronome_annotation_0005 metronome_annotation_0029
metronome_annotation_0004 metronome_annotation_0014
metronome_annotation_0007 metronome_annotation_0018
metronome_annotation_0009 metronome_annotation_0003
metronome_annotation_0024 metronome_annotation_0019
metronome_annotation_0008 metronome_annotation_0014
metronome_annotation_0020 metronome_annotation_0020
metronome_annotation_0006 metronome_annotation_0002
metronome_annotation_0019 metronome_annotation_0002
metronome_annotation_0015 metronome_annotation_0015
metronome_annotation_0029 metronome_annotation_0027
metronome_annotation_0001 metronome_annotation_0023
minaret_annotation_0042 minaret_annotation_0034
minaret_annotation_0016 minaret_annotation_0011
minaret_annotation_0049 minaret_annotation_0040
minaret_annotation_0004 minaret_annotation_0031
minaret_annotation_0055 minaret_annotation_0005
minaret_annotation_0033 minaret_annotation_0028
minaret_annotation_0040 minaret_annotation_0008
minaret_annotation_0070 minaret_annotation_0047
minaret_annotation_0057 minaret_annotation_0017
minaret_annotation_0074 minaret_annotation_0045
minaret_annotation_0058 minaret_annotation_0026
minaret_annotation_0034 minaret_annotation_0057
minaret_annotation_0035 minaret_annotation_0060
minaret_annotation_0039 minaret_annotation_0010
minaret_annotation_0018 minaret_annotation_0033
nautilus_annotation_0008 nautilus_annotation_0053
nautilus_annotation_0006 nautilus_annotation_0038
nautilus_annotation_0029 nautilus_annotation_0034
nautilus_annotation_0011 nautilus_annotation_0031
nautilus_annotation_0040 nautilus_annotation_0043
nautilus_annotation_0003 nautilus_annotation_0013
nautilus_annotation_0010 nautilus_annotation_0007
nautilus_annotation_0047 nautilus_annotation_0020
nautilus_annotation_0046 nautilus_annotation_0006
nautilus_annotation_0012 nautilus_annotation_0021
nautilus_annotation_0027 nautilus_annotation_0054
nautilus_annotation_0030 nautilus_annotation_0034
nautilus_annotation_0011 nautilus_annotation_0032
nautilus_annotation_0051 nautilus_annotation_0025
nautilus_annotation_0016 nautilus_annotation_0025
octopus_annotation_0015 octopus_annotation_0035
octopus_annotation_0032 octopus_annotation_0008
octopus_annotation_0015 octopus_annotation_0007
octopus_annotation_0024 octopus_annotation_0033
octopus_annotation_0002 octopus_annotation_0032
octopus_annotation_0007 octopus_annotation_0014
octopus_annotation_0004 octopus_annotation_0005
octopus_annotation_0005 octopus_annotation_0005
octopus_annotation_0007 octopus_annotation_0001
octopus_annotation_0017 octopus_annotation_0029
octopus_annotation_0007 octopus_annotation_0029
octopus_annotation_0019 octopus_annotation_0033
octopus_annotation_0024 octopus_annotation_0013
octopus_annotation_0031 octopus_annotation_0016
octopus_annotation_0027 octopus_annotation_0023
okapi_annotation_0027 okapi_annotation_0021
okapi_annotation_0039 okapi_annotation_0022
okapi_annotation_0024 okapi_annotation_0027
okapi_annotation_0037 okapi_annotation_0022
okapi_annotation_0037 okapi_annotation_0008
okapi_annotation_0039 okapi_annotation_0015
okapi_annotation_0011 okapi_annotation_0025
okapi_annotation_0037 okapi_annotation_0021
okapi_annotation_0005 okapi_annotation_0006
okapi_annotation_0034 okapi_annotation_0033
okapi_annotation_0005 okapi_annotation_0033
okapi_annotation_0036 okapi_annotation_0013
okapi_annotation_0025 okapi_annotation_0007
okapi_annotation_0024 okapi_annotation_0034
okapi_annotation_0019 okapi_annotation_0013
pagoda_annotation_0013 pagoda_annotation_0044
pagoda_annotation_0041 pagoda_annotation_0011
pagoda_annotation_0038 pagoda_annotation_0007
pagoda_annotation_0013 pagoda_annotation_0021
pagoda_annotation_0043 pagoda_annotation_0011
pagoda_annotation_0006 pagoda_annotation_0012
pagoda_annotation_0041 pagoda_annotation_0013
pagoda_annotation_0039 pagoda_annotation_0007
pagoda_annotation_0022 pagoda_annotation_0009
pagoda_annotation_0007 pagoda_annotation_0018
pagoda_annotation_0004 pagoda_annotation_0047
pagoda_annotation_0009 pagoda_annotation_0041
pagoda_annotation_0035 pagoda_annotation_0035
pagoda_annotation_0023 pagoda_annotation_0028
pagoda_annotation_0024 pagoda_annotation_0012
panda_annotation_0010 panda_annotation_0028
panda_annotation_0001 panda_annotation_0031
panda_annotation_0032 panda_annotation_0029
panda_annotation_0028 panda_annotation_0031
panda_annotation_0030 panda_annotation_0027
panda_annotation_0012 panda_annotation_0030
panda_annotation_0031 panda_annotation_0014
panda_annotation_0020 panda_annotation_0035
panda_annotation_0005 panda_annotation_0022
panda_annotation_0034 panda_annotation_0033
panda_annotation_0008 panda_annotation_0037
panda_annotation_0012 panda_annotation_0031
panda_annotation_0012 panda_annotation_0016
panda_annotation_0034 panda_annotation_0023
panda_annotation_0007 panda_annotation_0020
pigeon_annotation_0028 pigeon_annotation_0016
pigeon_annotation_0008 pigeon_annotation_0005
pigeon_annotation_0024 pigeon_annotation_0033
pigeon_annotation_0023 pigeon_annotation_0033
pigeon_annotation_0039 pigeon_annotation_0004
pigeon_annotation_0026 pigeon_annotation_0034
pigeon_annotation_0008 pigeon_annotation_0004
pigeon_annotation_0006 pigeon_annotation_0041
pigeon_annotation_0030 pigeon_annotation_0040
pigeon_annotation_0010 pigeon_annotation_0026
pigeon_annotation_0021 pigeon_annotation_0039
pigeon_annotation_0034 pigeon_annotation_0006
pigeon_annotation_0030 pigeon_annotation_0010
pigeon_annotation_0014 pigeon_annotation_0003
pigeon_annotation_0035 pigeon_annotation_0032
pizza_annotation_0016 pizza_annotation_0021
pizza_annotation_0040 pizza_annotation_0047
pizza_annotation_0029 pizza_annotation_0032
pizza_annotation_0018 pizza_annotation_0034
pizza_annotation_0049 pizza_annotation_0051
pizza_annotation_0044 pizza_annotation_0013
pizza_annotation_0028 pizza_annotation_0017
pizza_annotation_0007 pizza_annotation_0016
pizza_annotation_0005 pizza_annotation_0049
pizza_annotation_0036 pizza_annotation_0043
pizza_annotation_0038 pizza_annotation_0052
pizza_annotation_0052 pizza_annotation_0010
pizza_annotation_0052 pizza_annotation_0043
pizza_annotation_0022 pizza_annotation_0020
pizza_annotation_0010 pizza_annotation_0030
platypus_annotation_0010 platypus_annotation_0004
platypus_annotation_0025 platypus_annotation_0032
platypus_annotation_0012 platypus_annotation_0025
platypus_annotation_0024 platypus_annotation_0001
platypus_annotation_0029 platypus_annotation_0004
platypus_annotation_0002 platypus_annotation_0004
platypus_annotation_0033 platypus_annotation_0010
platypus_annotation_0005 platypus_annotation_0030
platypus_annotation_0005 platypus_annotation_0004
platypus_annotation_0023 platypus_annotation_0020
platypus_annotation_0012 platypus_annotation_0032
platypus_annotation_0034 platypus_annotation_0034
platypus_annotation_0023 platypus_annotation_0031
platypus_annotation_0032 platypus_annotation_0002
platypus_annotation_0005 platypus_annotation_0015
pyramid_annotation_0018 pyramid_annotation_0009
pyramid_annotation_0025 pyramid_annotation_0052
pyramid_annotation_0053 pyramid_annotation_0014
pyramid_annotation_0017 pyramid_annotation_0040
pyramid_annotation_0033 pyramid_annotation_0037
pyramid_annotation_0046 pyramid_annotation_0009
pyramid_annotation_0041 pyramid_annotation_0017
pyramid_annotation_0052 pyramid_annotation_0012
pyramid_annotation_0004 pyramid_annotation_0054
pyramid_annotation_0050 pyramid_annotation_0031
pyramid_annotation_0001 pyramid_annotation_0055
pyramid_annotation_0041 pyramid_annotation_0013
pyramid_annotation_0041 pyramid_annotation_0037
pyramid_annotation_0011 pyramid_annotation_0045
pyramid_annotation_0050 pyramid_annotation_0023
revolver_annotation_0069 revolver_annotation_0077
revolver_annotation_0014 revolver_annotation_0004
revolver_annotation_0017 revolver_annotation_0054
revolver_annotation_0029 revolver_annotation_0061
revolver_annotation_0021 revolver_annotation_0008
revolver_annotation_0029 revolver_annotation_0065
revolver_annotation_0081 revolver_annotation_0076
revolver_annotation_0052 revolver_annotation_0047
revolver_annotation_0049 revolver_annotation_0038
revolver_annotation_0048 revolver_annotation_0066
revolver_annotation_0034 revolver_annotation_0024
revolver_annotation_0045 revolver_annotation_0082
revolver_annotation_0064 revolver_annotation_0081
revolver_annotation_0039 revolver_annotation_0044
revolver_annotation_0008 revolver_annotation_0074
rhino_annotation_0014 rhino_annotation_0055
rhino_annotation_0029 rhino_annotation_0010
rhino_annotation_0054 rhino_annotation_0057
rhino_annotation_0040 rhino_annotation_0052
rhino_annotation_0026 rhino_annotation_0030
rhino_annotation_0051 rhino_annotation_0002
rhino_annotation_0024 rhino_annotation_0046
rhino_annotation_0028 rhino_annotation_0022
rhino_annotation_0027 rhino_annotation_0051
rhino_annotation_0020 rhino_annotation_0026
rhino_annotation_0052 rhino_annotation_0036
rhino_annotation_0053 rhino_annotation_0023
rhino_annotation_0021 rhino_annotation_0043
rhino_annotation_0057 rhino_annotation_0019
rhino_annotation_0019 rhino_annotation_0057
rooster_annotation_0042 rooster_annotation_0009
rooster_annotation_0039 rooster_annotation_0029
rooster_annotation_0015 rooster_annotation_0040
rooster_annotation_0043 rooster_annotation_0013
rooster_annotation_0019 rooster_annotation_0049
rooster_annotation_0040 rooster_annotation_0022
rooster_annotation_0041 rooster_annotation_0012
rooster_annotation_0049 rooster_annotation_0010
rooster_annotation_0003 rooster_annotation_0035
rooster_annotation_0012 rooster_annotation_0043
rooster_annotation_0022 rooster_annotation_0038
rooster_annotation_0042 rooster_annotation_0013
rooster_annotation_0019 rooster_annotation_0049
rooster_annotation_0007 rooster_annotation_0003
rooster_annotation_0045 rooster_annotation_0017
saxophone_annotation_0027 saxophone_annotation_0002
saxophone_annotation_0003 saxophone_annotation_0016
saxophone_annotation_0003 saxophone_annotation_0003
saxophone_annotation_0023 saxophone_annotation_0012
saxophone_annotation_0027 saxophone_annotation_0009
saxophone_annotation_0010 saxophone_annotation_0029
saxophone_annotation_0026 saxophone_annotation_0029
saxophone_annotation_0022 saxophone_annotation_0029
saxophone_annotation_0021 saxophone_annotation_0015
saxophone_annotation_0029 saxophone_annotation_0022
saxophone_annotation_0015 saxophone_annotation_0015
saxophone_annotation_0025 saxophone_annotation_0038
saxophone_annotation_0013 saxophone_annotation_0018
saxophone_annotation_0004 saxophone_annotation_0005
saxophone_annotation_0027 saxophone_annotation_0035
schooner_annotation_0003 schooner_annotation_0060
schooner_annotation_0015 schooner_annotation_0037
schooner_annotation_0009 schooner_annotation_0025
schooner_annotation_0020 schooner_annotation_0036
schooner_annotation_0017 schooner_annotation_0063
